Soma,Media,Desvio Padrão,Min,Max
282.1663597017134,0.17635397481357087,6.781891686048017,-6.145001819559629,270.8107206433077
22.89612866126008,0.01431008041328755,6.695828569119653,-14.789671277749926,263.91055155770016
2.026880266530629,0.001266800166581643,6.612864362035642,-14.563568054268758,257.3490630101434
3.4229604346485614,0.002139350271655351,6.612864137319333,-15.637364104119065,257.3490630101434
279.42355288660843,0.17463972055413027,6.779113531778849,-5.994717043597119,270.7416590034858
281.9776630288002,0.17623603939300012,6.781048426749113,-5.003257785635304,270.82509288359546
279.5637104172488,0.17472731901078048,6.781387217982885,-5.211559204958895,270.836406024821
275.44718435394276,0.17215449022121423,6.792059400141593,-5.895942386148916,271.32050202738907
275.44718435394276,0.17215449022121423,6.792059400141593,-5.895942386148916,271.32050202738907
268.1910888164401,0.16761943051027506,6.793184773315675,-6.676445811410482,271.42473577411084
268.1910888164401,0.16761943051027506,6.793184773315675,-6.676445811410482,271.42473577411084
268.79508650578765,0.1679969290661173,6.788670816715536,-6.622237182482897,271.20674394407985
291.42680427630074,0.18214175267268795,7.04395046136324,-5.523009768586566,281.4675098229354
266.08673455305586,0.1663042090956599,6.301921326132968,-6.775674943531484,251.22678609269033
294.71499153978755,0.1841968697123672,7.121517333984798,-5.328807143866908,284.6152324533679
294.71499153978755,0.1841968697123672,7.121517333984798,-5.328807143866908,284.6152324533679
297.474839801822,0.18592177487613873,7.1943273902414715,-5.141489482430167,287.5667564339248
287.4916800496278,0.17968230003101737,6.917018228458453,-5.545527958651669,276.30168001568256
288.6127848359498,0.18038299052246864,6.947352508873438,-5.34768197183853,277.54025530302835
285.9455659900338,0.17871597874377113,6.885009695140838,-5.726456606922932,274.9956611587139
274.5446976265017,0.17159043601656357,6.5687834803635905,-6.452006769024312,262.22280880857534
288.6127848359498,0.18038299052246864,6.947352508873438,-5.34768197183853,277.54025530302835
287.2197847321732,0.17951236545760824,6.69009759083436,-8.807582829752672,266.3968022779265
287.15627375297333,0.17947267109560833,6.71472603830347,-8.465014351634611,267.50793597647737
287.126086330326,0.17945380395645377,6.693093271805408,-8.766763979354183,266.533167697753
287.2803296574967,0.1795502060359354,6.640629983356908,-9.430055092845661,264.1430617124037
287.39604239211246,0.1796225264950703,6.6529504474428895,-9.283258375367936,264.70733379958995
285.85787570196425,0.17866117231372766,6.910303085998519,-5.354366522547831,275.8207993782673
309.96645236126795,0.19372903272579248,6.900269604823018,-5.353402540598357,275.4494743016379
285.5239907038519,0.17845249418990744,6.904136888052587,-5.69979148936018,275.5979101419681
295.3651152118247,0.18460319700739042,6.903622236907609,-4.885918463967899,275.5663221243024
277.36065176851616,0.1733504073553226,6.894266376301993,-5.558255624900111,275.1968952205487
283.16749873656215,0.17697968671035136,6.720287079312464,-6.409390898173685,264.4632181398018
280.5232949475614,0.17532705934222587,6.7333546594062215,-6.480259246558709,265.664848515469
299.15128643155003,0.18696955401971876,6.730005353929896,-5.508886933773394,265.28086218041614
287.4916800496278,0.17968230003101737,6.917018228458453,-5.545527958651669,276.30168001568256
27.111727905045115,0.016944829940653196,6.695351114193865,-15.144076030212394,263.9750330075897
27.111727905045115,0.016944829940653196,6.695351114193865,-15.144076030212394,263.9750330075897
256.8900204497766,0.16055626278111038,6.772882195874802,-6.8015323786754145,270.5617597710478
256.8900204497766,0.16055626278111038,6.772882195874802,-6.8015323786754145,270.5617597710478
249.56858729020362,0.15598036705637727,6.76409894083034,-7.026420806017917,270.1494490169701
20.19720364651174,0.012623252279069836,6.070646899568186,-15.216059222633628,238.63108636964446
20.929920565886718,0.013081200353679198,6.220408832579429,-14.864607288188049,244.7502011628405
20.929920565886718,0.013081200353679198,6.220408832579429,-14.864607288188049,244.7502011628405
218.8725858079227,0.1367953661299517,7.081078285293364,-7.152410252391007,282.7416786793222
20.929920565886718,0.013081200353679198,6.220408832579429,-14.864607288188049,244.7502011628405
23.41105704487785,0.014631910653048657,6.797383783156991,-14.610003817342244,267.9791583838747
21.992751318065558,0.013745469573790975,6.4846952343627855,-14.853730127066713,255.50740713821818
21.992751318065558,0.013745469573790975,6.4846952343627855,-14.853730127066713,255.50740713821818
22.206022459405958,0.013878764037128724,6.571343050261697,-14.824350347278365,258.9561627934692
23.835921985682774,0.014897451241051733,6.858882508879025,-14.349819095514377,270.4583783752713
21.314444667248438,0.013321527917030274,6.607932606387655,-16.843127336202194,259.73077399169824
21.151594921888062,0.013219746826180039,6.598605056215814,-16.92455642323286,259.3117528859694
20.59858193951385,0.012874113712196156,6.549020948354999,-17.497129062530192,257.0829511586433
21.151594921888062,0.013219746826180039,6.598605056215814,-16.92455642323286,259.3117528859694
21.930028150382697,0.013706267593989185,6.665488475243099,-16.29489418370377,262.2804481831357
15.733030713299613,0.009833144195812257,6.830517472039151,-12.237699683470908,270.1321553825508
38.30566720262506,0.023941042001640662,6.8363862421840835,-12.715287363320314,270.05201697960433
47.2204809791352,0.029512800611959503,6.829349067392441,-12.636702014617974,269.84543473950566
-3.5691339720951873,-0.002230708732559492,6.817471059327007,-13.442115230097947,268.93877442340016
257.6435631376196,0.16102722696101224,6.824445508673365,-12.166840950440347,269.83826779256384
68.67008392805778,0.04291880245503611,6.67458080079285,-13.230084288582585,260.51340707691304
16.66282761438174,0.010414267258988587,6.647162369380333,-14.1790098307144,258.87268232804405
13.351193869130086,0.008344496168206303,6.661894294844064,-14.789318654486129,259.68075240287277
45.85086089696077,0.02865678806060048,6.653814977424711,-14.288032615307579,258.75643616836555
