Soma k1,Desvio Padrão k1,Soma k2,Desvio Padrão k2,Soma k3,Desvio Padrão k3,Soma k4,Desvio Padrão k4
27343.0,9.865413681613914,898.0,1.1842712685445003,28812.0,8.803192247701967,776.0,1.212858194514099
27038.0,8.21430145767125,437.0,0.7346956746674095,28474.0,9.362277283732842,707.0,0.9295813489818952
26557.0,10.16558515208913,985.0,1.2827239996877737,28093.0,9.032877253919429,717.0,1.203041555547854
26429.0,8.777367001804983,871.0,1.3418386115233827,27911.0,9.575915405817607,724.0,0.9395444374802078
27294.0,9.065748641866263,698.0,0.9518066702329838,28767.0,8.125896849540672,336.0,0.5675825931087035
27304.0,8.598736825836689,782.0,1.068233793464708,28772.0,8.047185455176239,388.0,0.6133463540284559
27332.0,8.274550969690138,659.0,0.9190941107280582,28797.0,8.224847809192276,353.0,0.5056674889440689
27453.0,9.622856721596504,461.0,0.6982900431590015,28914.0,8.527304582193603,236.0,0.4711621270857835
27453.0,9.622856721596504,461.0,0.6982900431590015,28914.0,8.527304582193603,236.0,0.4711621270857835
27343.0,8.64877951559496,59.0,0.1884548603114284,28832.0,7.937543700667103,0.0,0.0
27343.0,8.64877951559496,59.0,0.1884548603114284,28832.0,7.937543700667103,0.0,0.0
27328.0,9.212347692092392,30.0,0.13564084008881688,28826.0,8.339048862879988,66.0,0.2110650077582734
32287.0,9.459635278877036,999.0,1.3122617343255119,34041.0,8.632621609880454,757.0,1.1188287332630495
20020.0,8.8869901400868,803.0,1.0416316452446133,21072.0,7.861288062397917,724.0,1.1544452130785592
33958.0,9.26174583636908,1006.0,1.3391876035492563,35788.0,8.529284480541142,748.0,1.0938207119999146
33958.0,9.26174583636908,1006.0,1.3391876035492563,35788.0,8.529284480541142,748.0,1.0938207119999146
35590.0,9.05037766822468,1019.0,1.3619894398911472,37533.0,8.427899885758906,723.0,1.0488965556121346
31073.0,9.45171675460998,964.0,1.2597594016319147,32786.0,8.451770432134323,809.0,1.2067387287126405
31960.0,9.236848759181889,979.0,1.2850034958610037,33723.0,8.244450572013577,808.0,1.1989474550621475
30166.0,9.637614379995703,968.0,1.260545516829916,31822.0,8.623521521832018,800.0,1.216038650701531
21896.0,9.063361683172529,816.0,1.0682462262980386,23053.0,8.095388130557732,716.0,1.1471677078788436
